name,model,generation,model number,yourpds
ipad,ipad,10th gen,A2601,Selected
ipad,ipad,10th gen,A2602,Selected
ipad,ipad,10th gen,A2696,
ipad,ipad,10th gen,A2757,
ipad,ipad,10th gen,A2777,
ipad,ipad,9th gen,A2567,Selected
ipad,ipad,9th gen,A2568,Selected
ipad,ipad,9th gen,A2602,
ipad,ipad,9th gen,A2604,
ipad,ipad,9th gen,A2603,
ipad,ipad,9th gen,A2605,
ipad,ipad,8th gen,A2270,Selected
ipad,ipad,8th gen,A2270,Selected
ipad,ipad,8th gen,A2428,Selected
ipad,ipad,8th gen,A2429,Selected
ipad,ipad,8th gen,A2430,Selected
ipad,ipad,7th gen,A2197,Selected
ipad,ipad,7th gen,A2200,Selected
ipad,ipad,7th gen,A2198,Selected
ipad,ipad,6th gen,A1893,Selected
ipad,ipad,6th gen,A1954,Selected
ipad,ipad,5th gen,A1822,Selected
ipad,ipad,5th gen,A1823,Selected
ipad,ipad,4th gen,A1458,Selected
ipad,ipad,4th gen,A1459,Selected
ipad,ipad,4th gen,A1460,Selected
ipad,ipad,3rd gen,A1416,Selected
ipad,ipad,3rd gen,A1430,Selected
ipad,ipad,3rd gen,A1403,Selected
ipad,ipad,2nd gen,A1395,Selected
ipad,ipad,2nd gen,A1396,Selected
ipad,ipad,2rd gen,A1397,Selected
ipad,ipad,1st gen,A1219,Selected
ipad,ipad,1st gen,A1337,Selected
ipad,mini,6nd gen,A2567,
ipad,mini,6th gen,A2568,
ipad,mini,6th gen,A2569,
ipad,mini,5th gen,A2133,Selected
ipad,mini,5th gen,A2126,Selected
ipad,mini,5th gen,A2125,Selected
ipad,mini,5th gen,A2124,Selected
ipad,mini,4th gen,A1538,Selected
ipad,mini,4th gen,A1550,Selected
ipad,mini,3rd gen,A1599,Selected
ipad,mini,3rd gen,A1600,Selected
ipad,mini,2nd gen,A1489,Selected
ipad,mini,2nd gen,A1490,Selected
ipad,mini,2nd gen,A1491,Selected
ipad,mini,1st gen,A1432,Selected
ipad,mini,1st gen,A1454,Selected
ipad,mini,1st gen,A1455,Selected
ipad,air,5th gen,A2588,
ipad,air,5th gen,A2589,
ipad,air,5th gen,A2591,
ipad,air,4th gen,A2072,Selected
ipad,air,4th gen,A2316,Selected
ipad,air,4th gen,A2324,Selected
ipad,air,4th gen,A2325,Selected
ipad,air,3rd gen,A2152,Selected
ipad,air,3rd gen,A2123,Selected
ipad,air,3rd gen,A2153,Selected
ipad,air,3rd gen,A2154,Selected
ipad,air,2nd gen,A1566,Selected
ipad,air,2nd gen,A1567,Selected
ipad,air,1st gen,A1474,
ipad,air,1st gen,A1475,
ipad,air,1st gen,A1476,
ipad,pro 12.9,6th gen,A2436,
ipad,pro 12.9,6th gen,A2764,
ipad,pro 12.9,6th gen,A2437,
ipad,pro 12.9,6th gen,A2766,
ipad,pro 12.9,5th gen,A2378,
ipad,pro 12.9,5th gen,A2461,
ipad,pro 12.9,5th gen,A2379,
ipad,pro 12.9,5th gen,A2362,
ipad,pro 12.9,4th gen,A2229,Selected
ipad,pro 12.9,4th gen,A2069,Selected
ipad,pro 12.9,4th gen,A2232,Selected
ipad,pro 12.9,4th gen,A2233,Selected
ipad,pro 12.9,3rd gen,A1876,Selected
ipad,pro 12.9,3rd gen,A2014,Selected
ipad,pro 12.9,3rd gen,A1895,Selected
ipad,pro 12.9,3rd gen,A1983,Selected
ipad,pro 12.9,2nd gen,A1670,Selected
ipad,pro 12.9,2nd gen,A1671,Selected
ipad,pro 12.9,2nd gen,A1821,Selected
ipad,pro 12.9,1st gen,A1584,Selected
ipad,pro 12.9,1st gen,A165,Selected
ipad,pro 12.9,1nd gen,A1652,
ipad,pro 11,4th gen,A2759,
ipad,pro 11,4th gen,A2435,
ipad,pro 11,4th gen,A2761,
ipad,pro 11,4th gen,A2762,
ipad,pro 11,3rd gen,A2377,Selected
ipad,pro 11,3rd gen,A2459,Selected
ipad,pro 11,3rd gen,A2460,Selected
ipad,pro 11,3rd gen,A2301,Selected
ipad,pro 11,2nd gen,A2228,Selected
ipad,pro 11,2nd gen,A2068,Selected
ipad,pro 11,2nd gen,A2230,Selected
ipad,pro 11,2nd gen,A2231,Selected
ipad,pro 11,1st gen,A1980,Selected
ipad,pro 11,1st gen,A2013,Selected
ipad,pro 11,1st gen,A1934,Selected
ipad,pro 11,1st gen,A1979,Selected
ipad,pro 10.5,,A1701,Selected
ipad,pro 10.5,,A1709,Selected
ipad,pro 10.5,,A1852,
ipad,pro 9.7,,A1673,Selected
ipad,pro 9.7,,A1674,Selected
ipad,pro 9.7,,A1675,Selected
